,start_idx,end_idx,walking_direction_lag,walking_direction_base_corr,walking_direction_lagged_corr,walking_direction_dtw,speeds_lag,speeds_base_corr,speeds_lagged_corr,speeds_dtw,mean_distance,mean_speed_difference,mean_walking_direction_difference,mean_pace_asymmetry
0,96,187,-36,-0.3044426761285408,0.5458703933521197,81.24087703231784,-48,0.16725454499700218,0.3430450584287907,66.84443769494882,1.7337851348638014,0.4041428571428571,82.57136441308081,0.4186915504233494
1,210,311,-10,0.42243523792996185,0.4723874469759815,68.80891728914936,0,0.474246792297488,0.474246792297488,60.88653770313956,3.20990781335273,0.4213465346534653,78.80738268967856,0.4059292315411213
2,582,657,9,0.28601733368308246,0.34245458637131126,59.74887830689309,10,0.04022535766557704,0.30702674511137196,44.158322794420876,3.0454931912547094,0.5860000000000001,70.52496317205235,0.4838741363578593
3,939,992,-35,-0.4708572050076796,0.48854232447899837,62.76891096977149,15,0.15644682968721896,0.4540490633878342,43.62810171853917,1.8816072713352516,0.3859622641509433,52.63436933635673,0.279935048027177
4,1130,1237,-84,-0.5742378064664879,0.3830376800110881,155.08035970355297,-5,0.6070501667981982,0.6234333688461404,48.2589551537355,1.1723998873631383,0.33509345794392514,64.13851803371121,0.4373677803830639
5,1343,1487,17,0.4184174934891684,0.5870891650448927,94.24315778000494,-7,0.38162842759142435,0.45178543519633607,76.34416632587825,2.5037646613443028,0.48059027777777774,66.91702075089168,0.5298751801315452
