,participant_id,path_num,person_robot,turn_num,start_idx,end_idx,walking_direction_lag,walking_direction_base_corr,walking_direction_lagged_corr,walking_direction_dtw,speeds_lag,speeds_base_corr,speeds_lagged_corr,speeds_dtw,mean_distance,mean_speed_difference,mean_walking_direction_difference,mean_pace_asymmetry
35,2102,1,person,1,164,199,0,0.4396163947691821,0.4396163947691821,27.89094799224517,1,0.5315611488991567,0.5806750004301859,21.499441444180523,2.7001280830053203,0.5108571428571428,75.24461728688188,0.45848149682881567
36,2102,1,robot,1,170,228,-13,0.38276953476418385,0.5311273996728748,32.41663760902921,1,0.3651670552121348,0.38996472926422404,35.8942549983525,3.4124228163261887,0.451344827586207,82.09045097478203,0.37275618803122107
37,2102,2,person,1,219,266,-5,0.41175861318746826,0.613506660832956,27.713524556560554,-3,0.5096555800026817,0.6208509244046042,29.351548394232264,1.906230546420519,0.4267872340425532,56.1842551499285,0.5032765697969185
38,2102,2,robot,1,225,282,-3,0.297085354902762,0.48695177835276693,25.26248539902917,-3,0.5163853572810224,0.608379974017764,31.863802335736473,1.6762631195581759,0.3974210526315789,48.73470252505961,0.4412620815593595
39,2102,3,person,1,86,140,32,-0.5699674415047341,0.4945757795193218,87.86654633606732,6,0.34640826295772364,0.4106609966264874,41.111210043913154,1.1715405166937738,0.4859259259259259,73.63904997904235,0.44629119396788614
40,2102,3,person,2,581,638,9,0.19674860341562045,0.29865537008469534,57.99691827056519,7,-0.0785101782784096,0.23738885012038125,37.77202465124818,3.3750811606738607,0.6054912280701754,86.01698765372524,0.5317745973267026
41,2102,3,person,3,1134,1222,61,-0.5258676878499497,0.2690133091421839,125.88992178653433,1,0.5628089663894061,0.5740728799005018,50.248392286554676,0.9281677069751498,0.3069204545454545,72.67198081362245,0.4728223605750239
42,2102,3,person,4,1383,1449,-22,0.029364908432948263,0.4387159895167568,57.13571756489554,9,0.2037815092557451,0.42970213943079744,57.018295039371445,3.109828257031381,0.4400454545454545,94.42870575286429,0.6480105000808773
43,2102,3,robot,1,96,187,-36,-0.3044426761285408,0.5458703933521197,81.24087703231784,-48,0.16725454499700218,0.3430450584287907,66.84443769494882,1.7337851348638014,0.4041428571428571,82.57136441308081,0.4186915504233494
44,2102,3,robot,2,210,311,-10,0.42243523792996185,0.4723874469759815,68.80891728914936,0,0.474246792297488,0.474246792297488,60.88653770313956,3.20990781335273,0.4213465346534653,78.80738268967856,0.4059292315411213
45,2102,3,robot,3,582,657,9,0.28601733368308246,0.34245458637131126,59.74887830689309,10,0.04022535766557704,0.30702674511137196,44.158322794420876,3.0454931912547094,0.5860000000000001,70.52496317205235,0.4838741363578593
46,2102,3,robot,4,939,992,-35,-0.4708572050076796,0.48854232447899837,62.76891096977149,15,0.15644682968721896,0.4540490633878342,43.62810171853917,1.8816072713352516,0.3859622641509433,52.63436933635673,0.279935048027177
47,2102,3,robot,5,1130,1237,-84,-0.5742378064664879,0.3830376800110881,155.08035970355297,-5,0.6070501667981982,0.6234333688461404,48.2589551537355,1.1723998873631383,0.33509345794392514,64.13851803371121,0.4373677803830639
48,2102,3,robot,6,1343,1487,17,0.4184174934891684,0.5870891650448927,94.24315778000494,-7,0.38162842759142435,0.45178543519633607,76.34416632587825,2.5037646613443028,0.48059027777777774,66.91702075089168,0.5298751801315452
49,2103,1,person,1,352,416,-35,-0.8565498708749252,0.41829151148818394,130.30891957120397,-2,0.5234032083933142,0.6057488910416315,30.879643159886694,2.278931713997988,0.22215625,56.08025323571172,0.352949695891573
