,participant_id,path_num,person_robot,turn_num,start_idx,end_idx,walking_direction_lag,walking_direction_base_corr,walking_direction_lagged_corr,walking_direction_dtw,speeds_lag,speeds_base_corr,speeds_lagged_corr,speeds_dtw,mean_distance,mean_speed_difference,mean_walking_direction_difference,mean_pace_asymmetry
169,2108,2,person,3,865,894,-3,0.38640993430100756,0.4179770401346263,25.636655236373496,-1,0.6339908818769014,0.6934705435727991,15.699064160360914,3.529320578260869,0.2293793103448276,97.87532952818843,0.34769665108305614
170,2108,2,person,4,918,947,-15,-0.8514107380808676,0.4486947507179971,58.92531752306551,10,-0.03941194302391153,0.33620296610812495,34.321074199682,2.032566156478286,0.5417931034482759,14.862709000109133,0.22833402752587123
171,2108,2,robot,1,269,331,0,0.32545395684795214,0.32545395684795214,59.084369875326814,22,0.05426971413679722,0.4894008151164697,62.01773292035489,2.2114529133758603,0.9150645161290321,64.86766405866534,0.7785514744718957
172,2108,2,robot,2,341,367,-1,0.12928087323252802,0.18864520837485987,27.901271638626696,-8,-0.25838969758857366,0.37374149744492324,28.287254156861202,5.031856424411709,0.6186923076923077,120.31604547252363,0.8044501700793718
173,2108,2,robot,3,474,508,-10,0.3110057692147751,0.3852678273953726,27.68704481910319,-2,0.47192546661706986,0.5712882470000096,27.113667884053488,2.215651434544461,0.5942941176470589,50.74544443109227,0.5742453514456873
174,2108,2,robot,4,640,698,25,-0.4994463253904606,0.40534627279977126,51.438344868175804,-26,-0.0780048191195772,0.431587791497349,41.98406378773649,3.42826868874537,0.3301896551724138,95.7445047144688,0.4640666834741265
175,2108,2,robot,5,708,760,33,-0.5931293128744677,0.39742092997697076,87.66211396023114,21,-0.2928293642528463,0.2703534090094818,54.166805798227145,2.52645052102828,0.8151346153846153,67.2735081279789,0.6597690144160844
176,2108,3,person,1,457,483,4,0.32487725434975046,0.34570326055543343,25.014017084146865,1,0.35828660289818204,0.368354401390667,24.402822041767088,1.8942647462932256,0.48323076923076935,84.11439654957556,0.6331082604824682
177,2108,3,person,2,528,560,-6,0.06430419749496512,0.28377144844619107,30.014898790027697,4,0.35894534874978934,0.6760287064125654,22.044660711166962,2.8202015134735574,0.38790625,87.53221685487463,0.476382193488816
178,2108,3,person,3,570,598,6,0.21960125059964114,0.4881554066201105,31.335851718271684,6,-0.08755168049234471,0.4915452725563518,23.284215174663483,1.0975652234877094,0.3490714285714286,44.2295088867184,0.45587074097406693
179,2108,3,robot,1,102,175,-6,0.2013391670124337,0.42172631904216135,51.222332686317024,-17,-0.16711440977257486,0.25964456921533485,52.500292963093564,2.8411952906464455,0.6435479452054795,83.93383212294663,0.6082351782530979
180,2108,3,robot,2,408,507,23,0.11140992640557737,0.3330849401319418,69.2315371123444,0,0.37864352141151436,0.37864352141151436,66.31671482689704,2.658953146464081,0.516050505050505,59.31982172581408,0.6189267727086089
181,2108,3,robot,3,528,592,42,0.030613430003801012,0.2480757871124343,73.71259521719587,-22,-0.13752744125629734,0.33685813469909265,47.00007793140853,2.0718626207359536,0.45348437499999994,70.36909490483255,0.5601278039193521
182,2109,1,person,1,93,122,-23,-0.2670868907261049,0.3304235479449259,44.326535882692866,-4,0.28268370654352776,0.4314677636522965,20.060778953831182,1.3667342046476434,0.44813793103448285,47.93499077978784,0.36892679137673057
183,2109,1,robot,1,100,129,-17,-0.3845976677880739,0.40094426862153354,48.830850997565754,-7,0.1541774939651968,0.7154052986628401,16.1964947543591,1.7635286290140857,0.366,49.70362156216196,0.33771164231141837
184,2109,2,person,1,72,110,-17,-0.32691882754552243,0.5059109117187672,46.229324889691,0,0.8361851383913858,0.8361851383913858,15.67132668801423,1.8160746884592505,0.2474473684210527,60.916485735974675,0.3629030933204211
185,2109,2,person,2,135,170,5,0.45042263504256863,0.7584658493682322,21.03765157311935,0,0.6033572639429481,0.6033572639429481,26.29462073816045,1.6440702312356599,0.43257142857142855,72.04594001489448,0.5798459070827477
186,2109,2,person,3,222,279,11,0.05980269167988008,0.4745530431205448,43.31726082993458,-27,-0.28917643960232164,0.26816462346006203,57.46657120566873,8.775526987603593,0.7137017543859648,81.7486138533507,0.6112363822754953
187,2109,2,person,4,291,362,-9,0.21002105392856021,0.4671467761845814,53.21938967696126,-2,0.6836182686910818,0.7248569695004212,18.235793559296816,1.8054301297975235,0.2273380281690141,68.0233363410701,0.42729099798960396
188,2109,2,person,5,427,483,0,0.5263913198718637,0.5263913198718637,33.63768846903128,-1,0.6632148263115653,0.682201538198364,28.478259507511375,0.6367719418233843,0.2734642857142857,92.40120828235275,0.4637063825381684
189,2109,2,robot,1,70,120,-17,-0.05718284411876514,0.6730544218801626,47.12244209680739,0,0.839497251017246,0.839497251017246,20.00494934011371,1.7246805799829017,0.23048,53.23785709476361,0.3015371513310982
190,2109,2,robot,2,132,219,-36,0.046095762313396835,0.5479866826958069,58.928908910637155,-6,0.19216918323536544,0.39561740616029867,81.76469760437959,3.701400715064722,0.6177241379310344,63.00381147199287,0.5572879843706866
191,2109,2,robot,3,302,367,-9,0.2225540849024092,0.519508356863096,48.85809644126047,-4,0.7283732530166264,0.7442413327547681,22.94990110276269,1.6540953454508993,0.2526307692307692,69.19931332207426,0.4600737998639536
192,2109,2,robot,4,431,500,-59,0.22566126155988303,0.29771181490026954,65.43853363207019,-3,0.6112504560360655,0.647158000368914,32.95536995688526,1.0507410603995875,0.3051884057971015,92.69986877411617,0.4386515782123615
193,2109,3,person,1,174,207,-18,-0.24980849683349488,0.27406282184238145,49.17110069910733,25,-0.09515408767003736,0.34985144810885904,24.080161504763932,3.066085343303944,0.5362424242424242,58.370038305020024,0.4652391346377603
194,2109,3,person,2,232,317,30,-0.3305614683473792,0.33445023730897405,53.386729033961196,-10,-0.3981111162010074,0.3519272904020923,63.49076571648798,2.109079256763041,0.568,78.61093961805817,0.5765313148552164
195,2109,3,robot,1,140,166,1,0.24478976262662128,0.3034725796275799,25.212199156894144,-2,0.2835447048575721,0.4809666929884831,21.526275357555022,2.5968413013687486,0.3939230769230769,31.174537764048086,0.3794032249013904
196,2109,3,robot,2,180,209,-23,-0.3184348202039998,0.2631075171699755,41.2528705659787,-3,0.27326975094869227,0.4764528514667365,24.07337389414443,2.8116328852123478,0.6041724137931035,62.45287525597875,0.5154374009743072
